"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"174606528","0a6848c0","0080e1150508f334","S22C004156DA","0.0","0.0","0.0","30","30","4000683808","-23.603881999999999","-46.519058100000002","0"
"2037139471","796c480f","0080e1150053fb62","S22C004890DA","0.508681","0.0","0.0","8","3","4000683902","-23.603990499999998","-46.519100899999998","1"
"2095665135","7ce94fef","0080e1150021860e","S22C004945DA","1.0","0.0","0.0","0","0","4000683873","-23.603990499999998","-46.519100899999998","3"
"273108946","10474fd2","0080e11505099023","S22C005223DA","1.0","0.0","0.0","0","0","4000683363","-23.603990499999998","-46.519100899999998","3"
"2485079415","941f4d77","0080e1150040d8b5","S22C005495DA","1.0","0.0","0.0","0","0","4000683391","-23.603990499999998","-46.519100899999998","3"
"2495955666","94c542d2","0080e11500541931","S22C005532DA","1.0","0.0","0.0","0","0","4000683397","-23.603990499999998","-46.519100899999998","3"
"1663912170","632d48ea","0080e1150040dcb1","S22C004867DA","1.0","0.0","0.0","0","0","4000683549","-23.603881999999999","-46.519058100000002","3"
"3242149198","c13f454e","0080e1150053ca3d","S22C004217DA","1.0","0.0","0.0","0","0","4000683506","-23.603881999999999","-46.519058100000002","3"
"1938639506","738d4a92","0080e1150050566a","S22C005349DA","1.0","0.0","0.0","1","1","4000683450","-23.603990499999998","-46.519100899999998","1"
"2728545843","a2a24e33","0080e11500216808","S22C003812DA","1.0","0.0","0.0","1","1","4000683741","-23.603881999999999","-46.519058100000002","1"
"2928689841","ae9042b1","0080e115050986ac","S22C005455DA","0.577951","0.0","0.0","5","2","4000683483","-23.603881999999999","-46.519058100000002","1"
"1470582439","57a74ea7","0080e115000d958f","S22C004238DA","0.0","0.0","0.0","30","30","4000683784","-23.603881999999999","-46.519058100000002","0"
"2829274414","a8a34d2e","0080e115000d93a7","S22C004388DA","1.0","0.0","0.0","0","0","4000683910","-23.603990499999998","-46.519100899999998","2"
"1204766854","47cf4886","0080e1150040dbc6","S22C003759DA","0.554688","0.0","0.0","6","3","4000683498","-23.603881999999999","-46.519058100000002","1"
"1943160171","73d2456b","0080e115050986bd","S22C005483DA","1.0","0.0","0.0","1","1","4000683373","-23.603990499999998","-46.519100899999998","1"
"4175381917","f8df459d","0080e11500216833","S22C005080DA","1.0","0.0","0.0","1","1","4000683557","-23.603881999999999","-46.519058100000002","1"
"1597327320","5f3547d8","0080e1150021659b","S22C003825DA","1.0","0.0","0.0","1","1","4000683829","-23.603881999999999","-46.519058100000002","1"
"1270762040","4bbe4a38","0080e1150040c8d0","S22C003802DA","1.0","0.0","0.0","1","1","4000683418","-23.603990499999998","-46.519100899999998","1"
"1395212867","53294243","0080e11505098e3c","S22C005470DA","1.0","0.0","0.0","0","0","4000683406","-23.603990499999998","-46.519100899999998","2"
"501435254","1de34b76","0080e1150040d141","S22C004639DA","0.510243","0.0","0.0","8","3","4000683942","-23.603990499999998","-46.519100899999998","1"
